plu_no,plu_name,plu_code,uom,unit_price
1,SUGAR LOOSE,100002,0,
2,PALLILU LOOSE,101057,0,
3,PESARA PAPPU NO.1 LOOSE,100309,0,
4,Kandi pappu No.1 LOOSE,100315,0,
5,GODHUMA PINDI NO.1 LOOSE,100917,0,
6,ALLAM NEW LOOSE,110720,0,
7,YELLIGADDA NEW BIG LOOSE,101095,0,
8,ALUGADDA LOOSE,101420,0,
9,ULLIGADDA WHITE LOOSE,101829,0,
10,ULLIGADDA RED LOOSE,102035,0,
11,Ravva No.1 LOOSE,100909,0,
12,ALLAM PASTE LOOSE,101264,0,
13,ANASAPUVVU LOOSE,107220,0,
14,Anjeer Loose,110725,0,
15,ANUMULU LOOSE,101495,0,
16,AVALU LOOSE,100881,0,
17,AVALU WHITE LOOSE,108364,0,
18,Avisha Ginjaiu Loose,109099,0,
19,BABBARA PAPPU LOOSE,100301,0,
20,Babbarlu White imported LOOSE,101198,0,
21,Badam Loose,100138,0,
22,BARLEY SEEDS LOOSE,100110,0,
23,Basmathi rice Med LOOSE,100669,0,
24,Bat papad Loose,104050,0,
25,Batani green/Pachi Batani LOOSE,101239,0,
26,Batani salt LOOSE,101326,0,
27,BATTI PALLI LOOSE,101917,0,
28,BABBARLU RED LOOSE,101204,0,
29,BPT RICE LOOSE,100674,0,
30,BROWN RICE LOOSE,103318,0,
31,CHAROLI LOOSE,105301,0,
32,cherry Loose,109433,0,
33,CHIA SEEDS LOOSE,113755,0,
34,CHIKKULU LOOSE,104670,0,
35,CHILLI LOOSE,284641,0,
36,Chintapandu AC Loose,101280,0,
37,COOKING SODA LOOSE,284421,0,
38,CORN POWDER LOOSE,110112,0,
39,CUTTING BAGALU LOOSE,110113,0,
40,Dalchini Chekka Loose,106933,0,
41,Dhaniya No.1 LOOSE,100889,0,
42,Doddu Atukulu LOOSE,100978,0,
43,Elaichi Big Loose,106705,0,
44,Ganji powder Loose,100684,0,
45,GASALU LOOSE,109012,0,
46,Godhumalu LOOSE,101228,0,
